,COD_PRO,COD_SEL,Piles,Columns,Tensioners,Wire_rolls,Isolation,Carbonate,APP_Area,RL_Area,Total_Area,Requires_Carbonate_RL,Requires_Isolation_RL,Group_RL,CultureI_RL,CultureII_RL,Seedlings_RL,Method_RL,Year_RL,Requires_Carbonate_APP,Requires_Isolation_APP,Group_APP,CultureI_APP,CultureII_APP,Seedlings_APP,Method_APP,Year_APP,Year_Selection,Year_Implementation,Concluded_Isolation,Project_Status,Requires_Isolation,Requires_Carbonate
941,PRO0912,SEL0942,41,4,20,2,CONCLUIDO,0.2,0.28,0.0,0.28,0.0,0.0,,,,,,2019.0,0.0,0.0,1,D,,448.0,APP SAF,2019.0,2019.0,2019.0,1,ATIVO,1.0,0.0
942,PRO0913,SEL0943,40,2,5,1,,553.0,0.0,0.58,0.58,0.0,0.0,3,E,B,1111,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
943,PRO0914,SEL0944,190,20,60,5,,332.0,3.79,0.0,3.79,0.0,0.0,,,,,,2019.0,0.0,0.0,2,C,D,600.0,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
944,PRO0915,SEL0945,66,6,20,2,,166.0,0.96,0.0,0.96,0.0,0.0,,,,,,2019.0,0.0,0.0,1,A,,300.0,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
945,PRO0916,SEL0946,114,9,35,3,,614.0,1.3,0.0,3.79,0.0,0.0,,,,,,2019.0,0.0,0.0,2,A,B,1111.0,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
946,PRO0917,SEL0947,51,3,0,1,,614.0,0.0,0.0,0.96,0.0,0.0,3,CAFE,,1111,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,ATIVO,1.0,0.0
947,PRO0918,SEL0948,246,14,20,7,,1125.0,0.0,0.0,1.3,0.0,0.0,1,D,,1534,RL SAF,2019.0,0.0,0.0,1,A,,500.0,APP SAF,2019.0,2019.0,2019.0,0,DESISTENTE,1.0,0.0
948,PRO0919,SEL0949,77,5,15,2,,500.0,0.75,0.0,0.75,0.0,0.0,,,,,,2019.0,0.0,0.0,2,A,C,900.0,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
949,PRO0920,SEL0950,273,7,5,7,,1380.0,4.22,0.0,4.22,0.0,0.0,,,,,,2019.0,0.0,0.0,2,A,C,2222.0,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
950,PRO0921,SEL0951,436,23,40,11,,1776.0,3.75,0.0,3.75,0.0,0.0,,,,,,2019.0,0.0,0.0,1,A,,3211.0,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
951,PRO0922,SEL0952,50,4,10,1,CONCLUIDO,0.75,2.7,0.0,4.22,0.0,0.0,,,,,,2019.0,0.0,0.0,5,H,,2800.0,APP DIV,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
952,PRO0922,SEL0953,0,0,0,0,,0.0,0.0,0.0,3.75,0.0,0.0,,,,,,2020.0,0.0,0.0,5,H,,300.0,APP DIV,2020.0,2020.0,2020.0,0,DESISTENTE,0.0,0.0
953,PRO0923,SEL0954,40,0,0,1,CONCLUIDO,2.0,2.0,0.0,2.7,0.0,0.0,1,B,,200,RL SAF,2019.0,0.0,0.0,1,A,C,2000.0,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
954,PRO0924,SEL0955,185,16,25,5,,711.0,1.11,0.0,1.11,0.0,0.0,,,,,,2019.0,0.0,0.0,5,H,,1285.0,APP DIV,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
955,PRO0925,SEL0956,70,10,20,2,,710.0,4.08,0.0,4.08,0.0,0.0,,,,,,2019.0,0.0,0.0,5,H,C,1285.0,APP DIV,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
956,PRO0926,SEL0957,72,6,10,2,CONCLUIDO,0.55,1.53,0.0,1.53,0.0,0.0,,,,,,2019.0,0.0,0.0,1,C,,1000.0,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
957,PRO0927,SEL0958,0,0,0,0,,0.15,0.8,0.0,4.08,0.0,0.0,1,C,,250,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
958,PRO0928,SEL0959,0,0,0,0,,0.0,0.0,0.0,1.53,0.0,0.0,,,,,,2019.0,0.0,0.0,5,H,,700.0,APP DIV,2019.0,2019.0,2019.0,0,DESISTENTE,0.0,0.0
959,PRO0929,SEL0960,0,0,0,0,,0.0,0.0,0.0,0.8,0.0,0.0,,,,,,2019.0,0.0,0.0,5,H,,,APP DIV,2019.0,2019.0,2019.0,0,DESISTENTE,0.0,0.0
960,PRO0930,SEL0961,60,0,0,2,CONCLUIDO,2.0,4.68,0.0,4.68,0.0,0.0,,,,,,2019.0,0.0,0.0,1,A,,3500.0,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
961,PRO0931,SEL0962,256,10,30,7,CONCLUIDO,1.2,2.87,0.0,2.87,0.0,0.0,,,,,,2019.0,0.0,0.0,1,D,,2800.0,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
962,PRO0932,SEL0963,0,0,0,0,,0.775,2.0,0.0,4.68,0.0,0.0,2,B,D,1200,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
