,COD_PRO,COD_EXT_x,COD_MUN,COD_SEDE,Farm,X_UTM,Y_UTM,County,Num_Visits,CAD_PLA,COD_EXT_y,Affiliation,NOME DA ASSOCIÇÃO,Main_Activity,Secondary_Activity
1051,PRO1052,4.0,14,RLM04190617,SITIO AQUARIOS,644701.0,8698302.0,ROLIM DE MOURA,0,PLA 1051,4.0,STTR,,PISCICULTURA,
1052,PRO1053,2.0,4,CUJ01180828,SÍTIO BOA VISTA,535062.0,8957152.0,CUJUBIM,0,PLA 1052,2.0,ASSOCIAÇÃO,,BOVINOCULTURA DE LEITE,LAVOURA
1053,PRO1054,2.0,4,CUJ01180829,SÍTIO UBIRATÃ,535379.0,8956061.0,CUJUBIM,0,PLA 1054,2.0,ASSOCIAÇÃO,,BOVINOCULTURA MISTA,
1054,PRO1055,2.0,4,CUJ01180901,SÍTIO MARIVAN,535348.0,8956700.0,CUJUBIM,0,PLA 1055,2.0,ASSOCIAÇÃO,,BOVINOCULTURA DE CORTE,LAVOURA
1055,PRO1056,2.0,4,CUJ01180830,SÍTIO OLHO D´ÁGUA,535458.0,8957726.0,CUJUBIM,0,PLA 1056,2.0,ASSOCIAÇÃO,,BOVINOCULTURA DE LEITE,LAVOURA
1056,PRO1057,4.0,14,RLM01190626,SITIO ALIANÇA,620981.0,8707425.0,ROLIM DE MOURA,0,PLA 1057,4.0,STTR,,LAVOURA,
1057,PRO1058,15.0,14,RLM01190619,S/N,617791.0,8702835.0,ROLIM DE MOURA,0,PLA 1058,15.0,STTR,,CAFEICULTURA,LAVOURA
1058,PRO1059,15.0,14,RLM01190618,SITIO SANTA HELENA,633205.0,8698546.0,ROLIM DE MOURA,0,PLA 1059,15.0,STTR,,BOVINOCULTURA DE CORTE,
1059,PRO1060,9.0,10,PRM01190702,CHÁCARA GARCIA,621179.0,8767194.0,PRESIDENTE MÉDICI,0,PLA 1060,9.0,ASSOCIAÇÃO,,HORTICULTURA,
1060,PRO1061,9.0,10,PRM02190702,CHÁCARA FLOR DE IPÊ,621485.0,8767276.0,PRESIDENTE MÉDICI,0,PLA 1061,9.0,STTR,,BOVINOCULTURA DE LEITE,
