,COD_PLA,COD_PRO,Farm,X_UTM,Y_UTM,County,GLEBA,LINHA,KM,LOTE,Num_Visits,ASSOCIAÇÃO / STTR,Main_Activity,Secondary_Activity,Piles,Columns,Tensioners,Wire_rolls,Isolation,Carbonate,APP_Area,RL_Area,Total_Area,Group_RL,CultureI_RL,CultureII_RL,Seedlings_RL,Method_RL,Year_RL,Group_APP,CultureI_APP,CultureII_APP,Seedlings_APP,Method_APP,Year_APP,Concluded_Isolation
1373,PLA 1682,PRO 1326,CHACARA BOA ESPERANÇA,489265.0,8955236.0,ITAPUÃ DO OESTE,-,ESTRADA DA CACHOEIRINHA,573,-,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,,,,,,,,,,0.0,-,-,-,0,,2020.0,-,-,-,0.0,-,2020.0,0
1374,PLA 1683,PRO 1327,CHACARA BEIJAFLOR,489424.0,8955736.0,ITAPUÃ DO OESTE,-,ESTRADA DA CACHOEIRINHA,573,-,0,ASSOCIAÇÃO,FRUTICULTURA,,,,,,,,,,0.0,1,B,-,2708,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1375,PLA 1684,PRO 1328,CHACARA SAGU,488897.0,8954653.0,ITAPUÃ DO OESTE,-,ESTRADA DA CACHOEIRINHA,573,-,0,ASSOCIAÇÃO,FRUTICULTURA,,,,,,,,,,0.0,1,B,-,2508,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1376,PLA 1685,PRO 1329,SITIO ANJO DA GUARDA,637918.0,8703517.0,ROLIM DE MOURA,11,RO 010 LESTE,4.5,7,0,ASSOCIAÇÃO,BOVINOCULTURA DE CORTE,,,,,,,,,,0.0,-,-,-,0,,2020.0,5,H,-,1000.0,APP DIV,2020.0,0
1377,PLA 1686,PRO 1330,SITIO FIGUEIRA,537774.0,8952035.0,CUJUBIM,5,RO-205,23,7,0,ASSOCIAÇÃO,AGRICULTURA,,,,,,,,,,0.0,3,E,B,2220,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1378,PLA 1687,PRO 1331,DALZOCHIO,614493.0,8860721.0,OURO PRETO DO OESTE,2,203,,53,0,ASSOCIAÇÃO,BOVINOCULTURA  DE LEITE,BOVINOCULTURA DE CORTE,,,,,,,,,0.0,-,-,-,0,-,2020.0,1,A,-,200.0,APP SAF,2020.0,0
1379,PLA 1688,PRO 1332,SANTA ROSA,615898.0,8860610.0,OURO PRETO DO OESTE,3,203,,75,0,ASSOCIAÇÃO,BOVINOCULTURA  DE LEITE,,,,,,,,,,0.0,-,-,-,0,-,2020.0,5,H,-,400.0,APP DIV,2020.0,0
1380,PLA 1689,PRO 1334,NOVA GERULASEM,607994.0,8848823.0,OURO PRETO DO OESTE,28,204,,116 A,0,ASSOCIAÇÃO,BOVINOCULTURA  DE LEITE,,,,,,,,,,0.0,-,-,-,0,-,2020.0,5,H,-,200.0,APP DIV,2020.0,0
1381,PLA 1690,PRO 1335,SITIO NOSSA S APARECIDA,543193.0,8950222.0,CUJUBIM,1,CA-01 CP-04,13,62,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,AGRICULTURA,,,,,,,,,0.0,1,B,-,410,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1382,PLA 1691,PRO 1336,CHACARA VITORIA,539299.0,8953674.0,CUJUBIM,,B-94,20,5,0,ASSOCIAÇÃO,AGRICULTURA,,,,,,,,,,0.0,1,B,-,680,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1383,PLA 1692,PRO 1337,CHACARA 2 IRMAOS,548132.0,8970094.0,CUJUBIM,2,CA-24,17,2,0,STTR,AGRICULTURA,,,,,,;;,,,,0.0,3,E,B,1000,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1384,PLA 1693,PRO 1338,SITIO BOA SORTE,548698.0,8970826.0,CUJUBIM,2,CA-24,17,67,0,STTR,AGRICULTURA,,,,,,,,,,0.0,3,E,B,3890,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1385,PLA 1694,PRO 1339,,535330.0,8950827.0,CUJUBIM,5,B-90,25,20,0,ASSOCIAÇÃO,AGRICULTURA,,,,,,;;,,,,0.0,N,N,-,0,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1386,PLA 1695,PRO 1340,CHACARA ATIBAIA,506783.0,8946959.0,RIO CRESPO,2,RO-205,43,35,0,ASSOCIAÇÃO,AGRICULTURA,,,,,,,,,,0.0,1,B,-,3100,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1387,PLA 1696,PRO 1341,NOVA ESPERANÇA,536987.0,8940302.0,RIO CRESPO,BURAREIRO,C-100,40,7,0,OUTRA,BOVINOCULTURA DE LEITE,AGRICULTURA,,,,,,,,,0.0,1,B,-,2220,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1388,PLA 1697,PRO 1342,SITIO RANCHO ALEGRE,538820.0,8941491.0,RIO CRESPO,BURAREIRO,C-100,33,3,0,OUTRA,BOVINOCULTURA DE LEITE,,,,,,,,,,0.0,N,N,,0,N,2020.0,N,N,N,0.0,APP DIV,2020.0,0
1389,PLA 1698,PRO 1343,SITIO SÃO JOÃO,658321.0,8714424.0,ROLIM DE MOURA,9,208 NORTE,11,44,0,STTR,BOVINOCULTURA DE LEITE,,,,,2.0,,0.75,,,0.0,-,-,-,0,,2020.0,5,H,-,1500.0,APP DIV,2020.0,0
1390,PLA 1699,PRO 1344,CHACARA RS,478616.0,8989623.0,ITAPUÃ DO OESTE,-,605,4,-,0,STTR,FRUTICULTURA,,,,,,,,,,0.0,2,A,D,1110,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1391,PLA 1700,PRO 1345,ARARA AZUL,579999.0,8817644.0,OURO PRETO DO OESTE,15,BR 364,,03 A,0,,AGRICULTURA,,,,,,,,,,0.0,1,B,-,1800,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1392,PLA 1701,PRO 1346,SITIO BARBARA VITÓRIA,628968.0,8696146.0,ROLIM DE MOURA,18,180 SUL,7.5,19-A3,0,STTR,BOVINOCULTURA DE CORTE,,,,,,,0.5,,,0.0,-,-,-,0,,2020.0,2,B,D,1022.0,APP SAF,2020.0,0
1393,PLA 1702,PRO 1347,CHACARA SAO MATEUS,511958.0,8927929.0,RIO CRESPO,,C-90 TRAVESSAO B-65,1,,0,OUTRA,AGRICULTURA,,,,,,,,,,0.0,3,E,B,1050,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1394,PLA 1703,PRO 1348,SITIO VERA CRUZ,511065.0,8926904.0,RIO CRESPO,14,C-85,6,50,0,ASSOCIAÇÃO,BOVINOCULTURA DE CORTE,,,,,,,,,,0.0,3,E,B,5650,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1395,PLA 1704,PRO 1349,CHACARA COELHO,510947.0,8928858.0,RIO CRESPO,14,C-90 TRAVESSAO B-65,2,88,0,ASSOCIAÇÃO,AGRICULTURA,,,,,,,,,,0.0,1,B,-,2170,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1396,PLA 1705,PRO 1350,SITIO TRÊS LAGOAS,461159.0,8894108.0,MONTE NEGRO,3,"R0 421, LINHA C 52 P.A MASSANGANA",,16,0,,NÃO TEM,,,,,,,0.3,,,0.0,1,B,-,600,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1397,PLA 1706,PRO 1351,SITIO BOA ESPERANÇA,533786.0,8869719.0,ARIQUEMES,2,BR 364 LINHA C 18 P.A MARIA JOSÉ RIQUE,5,20,0,,FRUTICULTURA,,,,,,,0.54,,,0.0,1,B,-,450,RL SAF,2020.0,5,I,-,630.0,APP DIV,2020.0,0
1398,PLA 1707,PRO 1352,CHACARA PANTANAL,510829.0,8929191.0,RIO CRESPO,14,C-90 TRAVESSAO B-65,2,86,0,ASSOCIAÇÃO,AGRICULTURA,,,,,,,,,,0.0,1,B,-,710,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1399,PLA 1708,PRO 1353,SITIO CAPICHABA,510192.0,8927316.0,RIO CRESPO,,C-85,1,86,0,ASSOCIAÇÃO,AGRICULTURA,,,,,,,,,,0.0,3,E,B,3685,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1400,PLA 1709,PRO 1354,SITIO DA NILDA,451900.0,8991871.0,ITAPUÃ DO OESTE,-,RO 458,7.5,-,0,STTR,AGRICULTURA,,,,,,,,,,0.0,3,E,C,1221,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1401,PLA 1710,PRO 1355,ERICA BEATRIZ,601128.0,8713599.0,NOVO HORIZONTE DO OESTE,5,152 NORTE,10,40-B1,0,STTR,BOVINOCULTURA DE CORTE,,30,0,0.0,0.0,,0.4,,,0.0,0,-,-,0,,2020.0,5,I,-,1200.0,APP DIV,2020.0,0
